"","Country","Unit","Research Cycle","R. Cycle ID","Project Code","Item Type","output item id","HQ Update Request"
"1","?","GIS","","?","","map","· IDP statistics maps","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"2","?","GIS","","?","","map","ACTED Cash activities","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"3","AFG","data","","AFG1803a","","analysis","AFG1803a_SRDP IV_Manteqa Profiling_Analysis_1_KII","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"4","AFG","data","","AFG1803a","","analysis","AFG1803a_SRDP IV_Manteqa Profiling_Analysis_2_CGD","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"5","AFG","data","","AFG1901","","analysis","AFG1901_2019 MSNA_Data Analysis Plan_1",""
"6","AFG","data","","AFG1901","","analysis","AFG1901_2019 MSNA_Analysis_1_HH","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"7","AFG","data","","AFG1901","","analysis","AFG1901_2019 MSNA_Analysis_2_HTR KI","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"8","AFG","data","","AFG1901","","analysis","AFG1901_2019 MSNA_Analysis_3_FGD","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"9","AFG","data","","AFG1902a","","analysis","AFG1902a_ERM MPCA Post Distribution Monitoring_Analysis_1_Round 1","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"10","AFG","data","","AFG1902a","","analysis","AFG1902a_ERM MPCA Post Distribution Monitoring_Analysis_2_Round 2","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"11","AFG","data","","AFG1902a","","analysis","AFG1902a_ERM MPCA Post Distribution Monitoring_Analysis_3_Round 3","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"12","AFG","data","","AFG1902b","","analysis","AFG1902b_ERM Qualitative Longitudinal Study_Analysis_1",""
"13","AFG","data","","AFG1902b","","analysis","AFG1902b_ERM Qualitative Longitudinal Study_Analysis_2",""
"14","AFG","data","","AFG1902b","","analysis","AFG1902b_ERM Qualitative Longitudinal Study_Analysis_3",""
"15","AFG","data","","AFG1903","","analysis","AFG1903_HTR_Assessment_Analysis_1_Q1",""
"16","AFG","data","","AFG1903","","analysis","AFG1903_HTR_Assessment_Analysis_2_Q2","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"17","AFG","data","","AFG1903","","analysis","AFG1903_HTR_Assessment_Analysis_3_Q3","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"18","AFG","data","","AFG1803a","","data","AFG1803a_SRDP IV_Manteqa Profiling_Data_1_KII","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"19","AFG","data","","AFG1803a","","data","AFG1803a_SRDP IV_Manteqa Profiling_Data_2_CGD","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"20","AFG","data","","AFG1803a","","data","AFG1803a_SRDP IV_Manteqa Profiling_DDR_1","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"21","AFG","data","","AFG1901","","data","AFG1901_2019 MSNA_DDR_1","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"22","AFG","data","","AFG1901","","data","AFG1901_2019 MSNA_Data_1_HH","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"23","AFG","data","","AFG1901","","data","AFG1901_2019 MSNA_Data_2_HTR KI","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"24","AFG","data","","AFG1901","","data","AFG1901_2019 MSNA_Data_3_FGD","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"25","AFG","data","","AFG1902a","","data","AFG1902a_ERM MPCA Post Distribution Monitoring_Data_1_Round 1","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
