"","id","issue","rcid","file id","comment","status","unit"
"1",16,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>AFG1803_AGORA_Presentation_Prelim</a>","Not public","","reporting"
"2",21,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>AFG1803_AGORA_Data_1_CGD</a>","Not public; postponed","not expected (tor postponed)","data"
"3",22,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>AFG1803_AGORA_Data_2_KII</a>","Not public; postponed","not expected (tor postponed)","data"
"4",23,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>AFG1803_AGORA_Data_3_HH</a>","Not public; postponed","not expected (tor postponed)","data"
"5",24,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>AFG1803_AGORA_Analysis_1_CGD</a>","Not public; postponed","not expected (tor postponed)","data"
"6",25,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>AFG1803_AGORA_Analysis_2_KII</a>","Not public; postponed","not expected (tor postponed)","data"
"7",26,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>AFG1803_AGORA_Analysis_3_HH</a>","Not public; postponed","not expected (tor postponed)","data"
"8",38,"planned submission passed but no received date","BGD1801a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>BGD1801a_WASH_Assessment_Monsoon_Update_Report_1</a>","","","reporting"
"9",43,"planned submission passed but no received date","BGD1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>BGD1803_Host_Community_MSNA_Report_1</a>","","","reporting"
"10",45,"planned submission passed but no received date","BGD1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>BGD1803_Host_Community_MSNA_Preliminary_Presentation_1</a>","","","reporting"
"11",48,"planned submission passed but no received date","BGD1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>BGD1803_Host_Community_MSNA_Factsheet_12</a>","","","reporting"
"12",54,"planned submission passed but no received date","BGD1804","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>BGD1804_Host_Community_Profiling_Factsheets</a>","","","reporting"
"13",78,"planned submission passed but no received date","BRA1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>BRA1803a_In-transit_Population_Monitoring_Presentation_1</a>","","","reporting"
"14",86,"planned submission passed but no received date","BRA1804","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>BRA1804_Informantion_needs_assessment_Analysis_2</a>","","with field","data"
"15",88,"planned submission passed but no received date","CAM1801","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>CAM1801_Shelter_Cluster_Assessment_Data_1</a>","","","data"
"16",89,"planned submission passed but no received date","CAM1801","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>CAM1801_Shelter_Cluster_Assessment_Analysis_1</a>","","","data"
"17",112,"planned submission passed but no received date","DRC1703e","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>DRC1703e_Shelter_WASH_Tanganyika_Maps_1</a>","","","GIS"
"18",113,"planned submission passed but no received date","DRC1703e","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>DRC1703e_GSC_GWC_Tanganyika_M&E_1</a>","","","research design"
"19",116,"planned submission passed but no received date","DRC1703f","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>DRC1703f_Abris_EHA_Nord_Kivu_Ituri_Maps_</a>","","","GIS"
"20",119,"planned submission passed but no received date","GlO1802","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>GLO1802_Refugee_Housing_M&E_Tanzania_Data_1</a>","","","data"
