"id","issue","rcid","file id","comment","status","unit"
1,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>AFG1803_AGORA_Data_1_CGD</a>","Not public; postponed","not expected (tor postponed)","data"
2,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>AFG1803_AGORA_Data_2_KII</a>","Not public; postponed","not expected (tor postponed)","data"
3,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>AFG1803_AGORA_Analysis_1_CGD</a>","Not public; postponed","not expected (tor postponed)","data"
4,"planned submission passed but no received date","AFG1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>AFG1803_AGORA_Analysis_2_KII</a>","Not public; postponed","not expected (tor postponed)","data"
13,"planned submission passed but no received date","BGD1806","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>BGD1806_Hygiene_Items_Market_Analysis_Data_1</a>","","","data"
14,"planned submission passed but no received date","BGD1806","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>BGD1806_Hygiene_Items_Market_Analysis_Analysis_1</a>","","","data"
154,"planned submission passed but no received date","IRQ1902","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>IRQ1902_HCR Winterisation PDM_Data_1</a>","","","data"
155,"planned submission passed but no received date","IRQ1902","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>IRQ1902_HCR Winterisation PDM_Analysis_1</a>","","","data"
169,"planned submission passed but no received date","JOR1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>JOR1809_GIZ_Social Cohesion_Area Mapping_Data_2_KI</a>","","","data"
170,"planned submission passed but no received date","JOR1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>JOR1809_GIZ_Social Cohesion_Area Mapping_Analysis_2_KI</a>","","","data"
171,"planned submission passed but no received date","JOR1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>JOR1809_GIZ_Social Cohesion_Area Mapping_Data_3_FGD</a>","","","data"
172,"planned submission passed but no received date","JOR1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>JOR1809_GIZ_Social Cohesion_Area Mapping_Analysis_3_FGD</a>","","","data"
462,"planned submission passed but no received date","YEM1805","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>YEM1805_RMA_Hudaydah_data_*</a>","","","data"
7,"none of the hq submission dates (planned/received) available","BGD1703","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>BGD1703_UNHCR SPP_Data_1_October</a>","","","data"
8,"none of the hq submission dates (planned/received) available","BGD1703","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>BGD1703_UNHCR SPP_Analysis_1_October</a>","","","data"
17,"none of the hq submission dates (planned/received) available","BGD1902b","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>BGD1902b_MSNA 2_JRP End of Year_Data_1</a>","","","data"
18,"none of the hq submission dates (planned/received) available","BGD1902b","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>BGD1902b_MSNA 2_JRP End of Year_Analysis_1</a>","","","data"
119,"none of the hq submission dates (planned/received) available","IRQ1703","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>Price Monitoring Data+Analysis Round 26</a>","","1 not received","data"
120,"none of the hq submission dates (planned/received) available","IRQ1703","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>Price Monitoring Data+Analysis Round 27</a>","","1 not received","data"
121,"none of the hq submission dates (planned/received) available","IRQ1703","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=2>Price Monitoring Data+Analysis Round 28</a>","","1 not received","data"
